city,state,zip,grad year,linfield status,birthday,visit_date,entry_term,entry_type,recruiter_initials,offer_status,temp,recruited,visited_hs,commited_to,high_school,hs_address,hs_city,hs_state,hs_zip,hs_county,final_academic_interest,academic_field,acdemic_interest,position,Pos:  ATH,Pos:  DB,Pos:  DBC,Pos:  DBR,Pos:  DBS,Pos:  DE,Pos:  DL,Pos:  DT,Pos:  FB,Pos:  K,Pos:  LB,Pos:  LBS,Pos:  LBW,Pos:  LS,Pos:  OC,Pos:  OG,Pos:  OL,Pos:  OT,Pos:  P,Pos:  QB,Pos:  RB,Pos:  TE,Pos:  WR,height_feet,height_inches,height_in_inches,weight,rank,gpa,gpa_admissions,app_status,app_decision,app_decision_date,decision date no year,apply_date,apply_date_noyear,admissions_academic interest,linfield_grad_year,team_status,finished_football,id_type,recruited_final
Vancouver,WA,98686,2015,,9/5/96,2/20/15,,,PR,,,,,,Kings Way Christian High School,16313 NE Leaper RD,Vancouver,WA,98686,Clark County,null,null,,WR,,,,,,,,,,,,,,,,,,,,,,,WR,6,4,76,190,3,2.5,,,,,,,,,null,null,null,recruit,TRUE
,WA,,2018,,1/24/00,,,,AB,,,No,TRUE,,Lakeside High School,5909 Highway 291,Nine Mile Falls,WA,99026,Stevens County,null,null,,"DB, WR",,DB,,,,,,,,,,,,,,,,,,,,,WR,6,1,73,170,3,2.5,,,,,,,,,null,null,null,recruit,TRUE
,WA,,2020,,,,,,,,,,,,Mount Spokane High School,6015 E Mt Spokane Park Dr,Mead,WA,99021,Spokane County,null,null,,"FB, LB",,,,,,,,,FB,,LB,,,,,,,,,,,,,5,9,69,234,3,2.5,,,,,,,,,null,null,null,recruit,TRUE
,HI,,2020,,,,,,,,,,TRUE,,Nanakuli High Intermediate Sch,89-980 Nanakuli Avenue,Waianae,HI,96792,Honolulu County,Undecided,Undecided,,WR,,,,,,,,,,,,,,,,,,,,,,,WR,6,0,72,192,3,2.5,,,,,,,,Undecided,null,null,null,recruit,TRUE
,wa,,2017,,,,,,,,,,,,Peninsula High School,14105 Purdy Ln Nw,Gig Harbor,WA,98332,Pierce County,Business,Business,Business,WR,,,,,,,,,,,,,,,,,,,,,,,WR,6,2,74,195,3,2.5,,,,,,,,,null,null,null,recruit,TRUE
,,,2023,,,,,,WH,,,,,,Rocklin High School,5301 Victory Lane,Rocklin,CA,95765,Placer County,null,null,,QB,,,,,,,,,,,,,,,,,,,,QB,,,,5,10,70,198,3,2.5,,,,,,,,,null,null,null,recruit,TRUE
,HI,,2018,,,,,,,,,,TRUE,,Roosevelt High School,1120 Nehoa St,Honolulu,HI,96822,Honolulu County,null,null,,QB,,,,,,,,,,,,,,,,,,,,QB,,,,5,10,70,180,3,2.5,,,,,,,,,null,null,null,recruit,TRUE
,OR,,2019,,5/7/01,,,,JS,,,,TRUE,,Sherwood High School,16956 Sw Meinecke Rd,Sherwood,OR,97140,Washington County,Pre-Athletic Training,Exercise Science,,RB,,,,,,,,,,,,,,,,,,,,,RB,,,5,10,70,190,3,2.5,,,,,,,,Pre-Athletic Training,null,null,null,recruit,TRUE
,OR,,2019,,,,,,,,,,,,Summit High School,2855 Nw Clearwater Dr,Bend,OR,97701,Deschutes County,null,null,,DT,,,,,,,,DT,,,,,,,,,,,,,,,,6,2,74,290,3,2.5,,,,,,,,,null,null,null,recruit,TRUE
Irvine,CA,92618,2015,,12/4/96,,,,,,,,,,Woodbridge High School,2 Medowbrook,Irvine,CA,92618,Orange County,Law;  Rights;  and Justice,Criminal Justice,Law;  Rights;  and Justice,OG,,,,,,,,,,,,,,,,OG,,,,,,,,6,2,74,295,3,2.5,,,,,,,,,null,null,null,recruit,TRUE
,,,2023,,,,,,WH,,,,,,Archbishop Riordan High School,175 Phelan Ave,San Francisco,CA,94112,San Francisco County,null,null,,LB,,,,,,,,,,,LB,,,,,,,,,,,,,6,1,73,200,3,2.4,,,,,,,,,null,null,null,recruit,TRUE
,WA,,2020,,,,,,AB,,,,TRUE,,Eatonville High School,Po Box 699,Eatonville,WA,98328,Pierce County,null,null,,LB,,,,,,,,,,,LB,,,,,,,,,,,,,6,0,72,180,3,2.4,,,,,,,,,null,null,null,recruit,TRUE
,WA,,2021,,,,,,AB,,,,,,Enumclaw High School,226 Semanski St,Enumclaw,WA,98022,King County,null,null,,DE,,,,,,DE,,,,,,,,,,,,,,,,,,6,3,75,215,3,2.4,,,,,,,,,null,null,null,recruit,TRUE
Kent,WA,98030,2015,,9/27/96,,,,JV,,,,,,Kent-Meridian High School,10020 SE 256th St,Kent,WA,98030,King County,Sports Management,Business,Sports Management,DBC,,,DBC,,,,,,,,,,,,,,,,,,,,,5,10,70,160,3,2.4,,,,,,,,,null,null,null,recruit,TRUE
Myrtle Creek,OR,97457,2018,,3/14/00,,,,,,,,FALSE,,Days Creek High School,Po Box 10,Days Creek,OR,97429,Douglas County,Exercise Science,Exercise Science,Exercise Science,"DL, OL",,,,,,,DL,,,,,,,,,,OL,,,,,,,6,0,72,240,3,2.383,,,,,,,,Exercise Science,null,null,null,recruit,TRUE
Bellingham,WA,98229,2020,,12/28/01,,,,AB,,,,,,Bellingham High School,2020 Cornwall Ave,Bellingham,WA,98225,Whatcom County,Coaching,Education,Coaching,"LB, RB",,,,,,,,,,,LB,,,,,,,,,,RB,,,6,0,72,165,3,2.327,,,,,,,,Coaching,null,null,null,recruit,TRUE
,OR,,2018,,,,,,JS,,,,TRUE,,Aloha High School,18550 Sw Kinnaman Rd,Beaverton,OR,97078,Washington County,null,null,,"DB, WR",,DB,,,,,,,,,,,,,,,,,,,,,WR,5,8,68,160,3,2.3,,,,,,,,,null,null,null,recruit,TRUE
,AZ,,2022,,,,,,AB,,,,,,Arizona College Prep Acad,3434 E Broadway Blvd,Tucson,AZ,85716,Pima County,null,null,,"K, P",,,,,,,,,,K,,,,,,,,,P,,,,,5,10,70,155,3,2.3,,,,,,,,,null,null,null,recruit,TRUE
,OR,,2021,,,,,,JS,,,,,,Central Catholic High School,2401 Se Stark St,Portland,OR,97214,Multnomah County,null,null,,"DL, OL",,,,,,,DL,,,,,,,,,,OL,,,,,,,5,11,71,220,3,2.3,,,,,,,,,null,null,null,recruit,TRUE
,HI,,2020,,,,,,,Sent Graphic,,,,,Kahuku High School,56-490 Kamehameha Hwy,Kahuku,HI,96731,Honolulu County,null,null,,OL,,,,,,,,,,,,,,,,,OL,,,,,,,5,9,69,300,3,2.3,,,,,,,,,null,null,null,recruit,TRUE
Las Vegas,NV,89123,2021,,3/20/03,,,,,,,,,,Silverado High School,1650 Silver Hawk Ave,Las Vegas,NV,89123,Clark County,Law;  Rights;  and Justice,Criminal Justice,,OL,,,,,,,,,,,,,,,,,OL,,,,,,,6,4,76,330,3,2.3,,,,,,,,Law;  Rights;  and Justice,null,null,null,recruit,TRUE
West Linn,OR,97068,2015,,11/8/96,,,,JS,,,,,,West Linn High School,5464 W A St,West Linn,OR,97068,Clackamas County,Undecided,Undecided,Uncertain,DBS,,,,,DBS,,,,,,,,,,,,,,,,,,,6,3,75,175,3,2.3,,,,,,,,,null,null,null,recruit,TRUE
Granite Bay,CA,95746,2021,,12/14/02,,,,,,,,,,Granite Bay High School,1 GRIZZLY WAY,GRANITE BAY,CA,95746,Placer County,Business,Business,Business,"DB, LB, RB",,DB,,,,,,,,,LB,,,,,,,,,,RB,,,6,1,73,198,3,2.25,,,,,,,,Business,null,null,null,recruit,TRUE
Tacoma,WA,98445,2021,,,,,,AB,,,,,,Spanaway Lake High School,1305 168th St E,Spanaway,WA,98387,Pierce County,null,null,,RB,,,,,,,,,,,,,,,,,,,,,RB,,,5,10,70,185,3,2.2,,,,,,,,,null,null,null,recruit,TRUE
Mill City,OR,97360,2018,,3/26/00,,,,,,,,,,Santiam High School,Po Box 199,Mill City,OR,97360,Linn County,Accounting,Business,,DB,,DB,,,,,,,,,,,,,,,,,,,,,,,,0,,4,null,,,,,,,,Accounting,null,null,null,recruit,FALSE
Lihue,HI,96766,2018,,4/3/00,,,,,,,,,,Kauai High School,3577 Lala Rd,Lihue,HI,96766,Kauai County,Anthropology,Liberal Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,4,null,,,,,,,,Anthropology,null,null,null,recruit,FALSE
Silverdale,WA,98383,2023,,8/1/05,,,,AB,,,,,,Klahowya Secondary School,Po Box 8,Silverdale,WA,98383,Kitsap County,Applied Physics,Engineering,,"DL, LB, OL",,,,,,,DL,,,,LB,,,,,,OL,,,,,,,6,1,73,230,4,null,,Awaiting Submission,,,,,,Applied Physics,null,null,null,recruit,FALSE
Eagle Point,OR,97524,2017,,10/3/98,,,,,,,,,,Eagle Point High School,Po Box 198,Eagle Point,OR,97524,Jackson County,Athletic Training,Exercise Science,Athletic Training,QB,,,,,,,,,,,,,,,,,,,,QB,,,,5,10,70,160,4,null,,,,,,,,,null,null,null,recruit,FALSE
Goldendale,WA,98620,2019,,3/31/01,,,,,,,,,,Goldendale High School,525 E Simcoe Dr,Goldendale,WA,98620,Klickitat County,Biology,Sciences,,LB,,,,,,,,,,,LB,,,,,,,,,,,,,,,0,,4,null,,,,,,,,Biology,null,null,null,recruit,FALSE
Lacey,WA,98516,2019,,9/3/00,,,,,,,,,,River Ridge High School,350 River Ridge Dr Se,Lacey,WA,98513,Thurston County,Biology,Sciences,,"DE, K",,,,,,DE,,,,K,,,,,,,,,,,,,,,,0,,4,null,,,,,,,,Biology,null,null,null,recruit,FALSE
Milton Freewater,OR,97862,2020,,2/13/02,,,,,,,,,,Mcloughlin High School,120 S Main St,Milton-Freewater,OR,97862,Umatilla County,Business,Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,4,null,,,,,,,,Business,null,null,null,recruit,FALSE
Sherwood,OR,97140,2019,,9/5/00,,,,,,,,,,Sherwood High School,16956 Sw Meinecke Rd,Sherwood,OR,97140,Washington County,Business,Business,,"DBS, WR",,,,,DBS,,,,,,,,,,,,,,,,,,WR,,,0,,4,null,,Awaiting Submission,,,,,,Business,null,null,null,recruit,FALSE
,WA,,2020,,12/1/01,,,,AB,,,,TRUE,,Enumclaw High School,226 Semanski St,Enumclaw,WA,98022,King County,Business,Business,,DT,,,,,,,,DT,,,,,,,,,,,,,,,,6,3,75,340,4,null,,Awaiting Submission,,,,,,Business,null,null,null,recruit,FALSE
,WA,,2019,,7/23/00,,,,,,,,,,Mercer Island High School,9100 Se 42nd St,Mercer Island,WA,98040,King County,Business,Business,,WR,,,,,,,,,,,,,,,,,,,,,,,WR,,,0,,4,null,,Awaiting Submission,,,,,,Business,null,null,null,recruit,FALSE
,WA,,2020,,,,,,AB,,,,TRUE,,Arlington High School,18821 Crown Ridge Blvd,Arlington,WA,98223,Snohomish County,Business,Business,,"DL, OL",,,,,,,DL,,,,,,,,,,OL,,,,,,,6,2,74,185,4,null,,,,,,,,Business,null,null,null,recruit,FALSE
Portland,OR,97233,2018,,1/18/00,,,,JS,,,No,TRUE,,Centennial High School,3505 Se 182nd Ave,Gresham,OR,97030,Multnomah County,Coaching,Education,,DB,,DB,,,,,,,,,,,,,,,,,,,,,,,,0,,4,null,,,,,,,,Coaching,null,null,null,recruit,FALSE
Clatskanie,OR,97016,2020,,11/26/01,,,,,,,,,,Clatskanie High School,Po Box 68,Clatskanie,OR,97016,Columbia County,Coaching,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,4,null,,,,,,,,Coaching,null,null,null,recruit,FALSE
Dayton,OR,97114,2018,,8/29/00,,,,GM,,,,,,Dayton Senior High School,801 Ferry Street,Dayton,OR,97114,Yamhill County,Coaching,Education,,WR,,,,,,,,,,,,,,,,,,,,,,,WR,,,0,,4,null,,,,,,,,Coaching,null,null,null,recruit,FALSE
Klamath Falls,OR,97601,2018,,9/29/99,,,,GM,,,,,,Klamath Union High School,1300 Monclaire St,Klamath Falls,OR,97601,Klamath County,Coaching,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,4,null,,,,,,,,Coaching,null,null,null,recruit,FALSE
Myrtle Point,OR,97458,2018,,5/27/00,,,,JS,,,No,,,Myrtle Point High School,717 4th St,Myrtle Point,OR,97458,Coos County,Coaching,Education,,QB,,,,,,,,,,,,,,,,,,,,QB,,,,,,0,,4,null,,,,,,,,Coaching,null,null,null,recruit,FALSE
Sheridan,OR,97378,2018,,12/23/98,,,,GM,,,,,,Sheridan High School,433 S Bridge St,Sheridan,OR,97378,Yamhill County,Coaching,Education,,RB,,,,,,,,,,,,,,,,,,,,,RB,,,,,0,,4,null,,,,,,,,Coaching,null,null,null,recruit,FALSE
Scio,OR,97374,2019,,7/11/01,,,,,,,,TRUE,,West Salem High School,1776 Titan Dr Nw,Salem,OR,97304,Polk County,Communications,Communications,,"DT, OG",,,,,,,,DT,,,,,,,,OG,,,,,,,,,,0,,4,null,,,,,,,,Communication Arts,null,null,null,recruit,FALSE
Elk Grove,CA,95757,2019,,3/30/01,,,,,,,,,,Cosumnes Oaks High School,8350 Lotz Pkwy,Elk Grove,CA,95757,Sacramento County,Computer Science,Computer Science/Math,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,4,null,,,,,,,,Computer Science,null,null,null,recruit,FALSE
Tacoma,WA,98404,2019,,8/14/01,,,,,,,,,,Lincoln High School,701 S 37 Street,Tacoma,WA,98418,Pierce County,Computer Science,Computer Science/Math,,DBC,,,DBC,,,,,,,,,,,,,,,,,,,,,,,0,,4,null,,,,,,,,Computer Science,null,null,null,recruit,FALSE
Brentwood,CA,94513,2021,,,,,,,,,,,,Heritage High School,101 American Ave,Brentwood,CA,94513,Contra Costa County,Education,Education,,WR,,,,,,,,,,,,,,,,,,,,,,,WR,6,2,74,180,4,null,,,,,,,,Education Secondary,null,null,null,recruit,FALSE
,WA,,2019,,2/14/01,,,,,,,,,,Kennewick High School,500 S Dayton St,Kennewick,WA,99336,Benton County,Education,Education,,DE,,,,,,DE,,,,,,,,,,,,,,,,,,6,2,74,200,4,null,,,,,,,,Education Secondary,null,null,null,recruit,FALSE
,WA,,2020,,5/2/02,,,,BE,,,,,,Ballard High School,1418 Nw 65th St,Seattle,WA,98117,King County,Education,Education,,OG,,,,,,,,,,,,,,,,OG,,,,,,,,5,11,71,245,4,null,,Awaiting Submission,,,,,,Education Secondary,null,null,null,recruit,FALSE
Klamath Falls,OR,97603,2019,,1/22/01,,,,AB,,,,,,Klamath Union High School,1300 Monclaire St,Klamath Falls,OR,97601,Klamath County,Environmental Studies,Sciences,,QB,,,,,,,,,,,,,,,,,,,,QB,,,,,,0,,4,null,,,,,,,,Environmental Studies,null,null,null,recruit,FALSE
Ewa Beach,HI,96706,2018,,3/14/00,,,,,,,,TRUE,,Radford High School,4361 Salt Lake Blvd,Honolulu,HI,96818,Honolulu County,Exercise Science,Exercise Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,4,null,,,,,,,,Exercise Science,null,null,null,recruit,FALSE
Puyallup,WA,98373,2017,,12/17/98,,,,,,,,,,Lincoln High School,701 S 37 Street,Tacoma,WA,98418,Pierce County,Exercise Science,Exercise Science,Exercise Science,"LB, RB",,,,,,,,,,,LB,,,,,,,,,,RB,,,6,0,72,220,4,null,,,,,,,,,null,null,null,recruit,FALSE
Waipahu,HI,96797,2018,,3/15/00,,,,,,,,TRUE,,Pearl City High School,2100 Hookiekie Street,Pearl City,HI,96782,Honolulu County,Finance,Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,4,null,,,,,,,,Finance,null,null,null,recruit,FALSE
Missoula,MT,59808,2019,,5/20/01,,,,,,,,,,Big Sky High School,3100 South Ave W,Missoula,MT,59804,Missoula County,Health Education,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,4,null,,,,,,,,Health Education,null,null,null,recruit,FALSE
Lebanon,OR,97355,2022,,2/20/04,,,,PR,,,,,,Lebanon High School,1700 S 5th St,Lebanon,OR,97355,Linn County,Health Education,Education,,OG,,,,,,,,,,,,,,,,OG,,,,,,,,6,1,73,325,4,null,,,,,,,,Physical Education,null,null,null,recruit,FALSE
Bend,OR,97701,2018,,4/19/00,,,,JS,,,No,,,Mountain View High School,2755 Ne 27th St,Bend,OR,97701,Deschutes County,Health Education,Education,,DBC,,,DBC,,,,,,,,,,,,,,,,,,,,,,,0,,4,null,,,,,,,,Health Education,null,null,null,recruit,FALSE
Marysville,WA,98270,2020,,,,,,AB,,,,,,Marysville Getchell High School,8301 84th St Ne,Marysville,WA,98270,Snohomish County,Health Education,Education,,"LB, RB",,,,,,,,,,,LB,,,,,,,,,,RB,,,5,9,69,185,4,null,,,,,,,,Physical Education,null,null,null,recruit,FALSE
,OR,,2022,,8/11/04,,,,JS,,,,,,North Valley High School,6741 Monument Drive,Grants Pass,OR,97526,Josephine County,History,Liberal Arts,,DT,,,,,,,,DT,,,,,,,,,,,,,,,,6,1,73,220,4,null,,,,,,,,History,null,null,null,recruit,FALSE
Ewa Beach,HI,96706,2018,,9/29/00,,,,,,,,TRUE,,James Campbell High School,91-980 North Rd,Ewa Beach,HI,96706,Honolulu County,International Business,Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,4,null,,,,,,,,International Business,null,null,null,recruit,FALSE
Hubbard,OR,97032,2018,,1/30/00,,,,JS,,,,TRUE,,North Marion High School,20167 Grim Rd Ne,Aurora,OR,97002,Marion County,International Business,Business,,WR,,,,,,,,,,,,,,,,,,,,,,,WR,,,0,,4,null,,,,,,,,International Business,null,null,null,recruit,FALSE
Honolulu,HI,96822,2020,,11/25/02,,,,,,,,,,Roosevelt High School,1120 Nehoa St,Honolulu,HI,96822,Honolulu County,Journalism and Media Studies,Communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,4,null,,,,,,,,Journalism and Media Studies,null,null,null,recruit,FALSE
,WA,,2019,,8/18/01,,,,,,,,,,Mercer Island High School,9100 Se 42nd St,Mercer Island,WA,98040,King County,Journalism and Media Studies,Communications,,DE,,,,,,DE,,,,,,,,,,,,,,,,,,,,0,,4,null,,,,,,,,Journalism and Media Studies,null,null,null,recruit,FALSE
Nampa,ID,83686,2020,,4/12/02,,,,,,,,,,Nampa High School,203 Lake Lowell Ave,Nampa,ID,83686,Canyon County,Law;  Rights;  and Justice,Criminal Justice,Law Rights and Justice,"K, LBS, P, WR",,,,,,,,,,K,,LBS,,,,,,,P,,,,WR,5,11,71,185,4,null,,,,,,,,Law;  Rights;  and Justice,null,null,null,recruit,FALSE
Henderson,NV,89014,2019,,2/14/01,,,,,,,,,,Silverado High School,1650 Silver Hawk Ave,Las Vegas,NV,89123,Clark County,Law;  Rights;  and Justice,Criminal Justice,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,4,null,,,,,,,,Law;  Rights;  and Justice,null,null,null,recruit,FALSE
Portland,OR,97229,2018,,1/15/99,,,,PR,,,,TRUE,,Lincoln High School,1600 Sw Salmon St,Portland,OR,97205,Multnomah County,Management,Business,,DE,,,,,,DE,,,,,,,,,,,,,,,,,,,,0,,4,null,,,,,,,,Management,null,null,null,recruit,FALSE
Stockton,CA,95206,2021,,9/6/03,,,,,,,,,,Pacific Law Academy,1621 Brookside Rd,Stockton,CA,95207,San Joaquin County,Marketing,Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,4,null,,,,,,,,Marketing,null,null,null,recruit,FALSE
San Carlos,CA,94070,2018,,1/18/00,,,,,,,,,,Saint Francis High School,1885 Miramonte Ave,Mountain View,CA,94040,Santa Clara County,Mathematics,Computer Science/Math,,OG,,,,,,,,,,,,,,,,OG,,,,,,,,,,0,,4,null,,,,,,,,Mathematics,null,null,null,recruit,FALSE
ALBANY,OR,97322,2021,,7/22/03,,,,,,,,,,South Albany High School,3705 Columbus St Se,Albany,OR,97322,Linn County,Mathematics,Computer Science/Math,,LB,,,,,,,,,,,LB,,,,,,,,,,,,,,,0,,4,null,,,,,,,,Mathematics,null,null,null,recruit,FALSE
Eagle River,AK,99577,2017,,3/13/99,,,,,,,,,,Chugiak High School,16525 Birchwood Loop Rd,Chugiak,AK,99567,Anchorage Municipality,null,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,4,null,,,,,,,,,null,null,null,recruit,FALSE
,AK,,2022,,,,,,BE,,,,,,Soldotna High School,425 W Marydale Ave,Soldotna,AK,99669,Kenai Peninsula Borough,null,null,,"DE, TE",,,,,,DE,,,,,,,,,,,,,,,,TE,,6,2,74,205,4,null,,,,,,,,,null,null,null,recruit,FALSE
Florence,AZ,85132,2022,,,,,,,,,,,,Florence High School,Po Box 2850,Florence,AZ,85132,Pinal County,null,null,,"LB, LS, WR",,,,,,,,,,,LB,,,LS,,,,,,,,,WR,6,4,76,205,4,null,,,,,,,,,null,null,null,recruit,FALSE
,AZ,,2021,,,,,,,,,,,,San Tan Foothills  High School,,,AZ,,0,null,null,,"DB, WR",,DB,,,,,,,,,,,,,,,,,,,,,WR,5,10,70,150,4,null,,,,,,,,,null,null,null,recruit,FALSE
Alameda,Ca,94502,2016,,,,,,,,,,,,Alameda High School,2201 Encinal Ave,Alameda,CA,94501,Alameda County,null,null,,"DE, OT, TE",,,,,,DE,,,,,,,,,,,,OT,,,,TE,,6,4,76,,4,null,,,,,,,,,null,null,null,recruit,FALSE
,CA,,2021,,,,,,,,,,,,American Canyon High School,3000 Newell Dr,American Canyon,CA,94503,Napa County,null,null,,DB,,DB,,,,,,,,,,,,,,,,,,,,,,6,1,73,185,4,null,,,,,,,,,null,null,null,recruit,FALSE
,CA,,2021,,,,,,,,,,,,American Canyon High School,3000 Newell Dr,American Canyon,CA,94503,Napa County,null,null,,DB,,DB,,,,,,,,,,,,,,,,,,,,,,5,8,68,175,4,null,,,,,,,,,null,null,null,recruit,FALSE
Morgan Hill,Ca,95037,2016,,,,,,,,,,,,Ann Sobrato High,401 Burnett Ave,Morgan Hill,CA,95037,Santa Clara County,null,null,,"DBS, WR",,,,,DBS,,,,,,,,,,,,,,,,,,WR,,,0,,4,null,,,,,,,,,null,null,null,recruit,FALSE
,CA,,2021,,,,,,,,,,,,Antelope Valley High School,44900 Division St,Lancaster,CA,93535,Los Angeles County,null,null,,OG,,,,,,,,,,,,,,,,OG,,,,,,,,6,0,72,290,4,null,,,,,,,,,null,null,null,recruit,FALSE
,CA,,2018,,,,,,,,,,,,Atascadero High School,1 High School Hill Rd,Atascadero,CA,93422,San Luis Obispo County,null,null,,"DB, WR",,DB,,,,,,,,,,,,,,,,,,,,,WR,,,0,,4,null,,,,,,,,,null,null,null,recruit,FALSE
Lake Balboa,CA,,2021,,,,,,AB,,,,,,Birmingham Community Hs,17000 Haynes St,Lake Balboa,CA,91406,Los Angeles County,null,null,,"DBS, WR",,,,,DBS,,,,,,,,,,,,,,,,,,WR,6,2,74,170,4,null,,,,,,,,,null,null,null,recruit,FALSE
,CA,,2021,,,,,,,,,,,,Bishop Amat Memorial Hs,14301 Fairgrove Ave,La Puente,CA,91746,Los Angeles County,null,null,,OC,,,,,,,,,,,,,,,OC,,,,,,,,,6,2,74,240,4,null,,,,,,,,,null,null,null,recruit,FALSE
,AZ,,2021,,5/1/03,,,,,,,,,,Buena High School,5670 Telegraph Rd,Ventura,CA,93003,Ventura County,null,null,,OL,,,,,,,,,,,,,,,,,OL,,,,,,,6,1,73,260,4,null,,,,,,,,,null,null,null,recruit,FALSE
,,,2023,,,,,,WH,,,,,,BURLINGAME,,,CA,,0,null,null,,"LB, RB",,,,,,,,,,,LB,,,,,,,,,,RB,,,,,0,,4,null,,,,,,,,,null,null,null,recruit,FALSE
,CA,,2021,,,,,,,,,,,,Canyon High School,19300 Nadal St,Canyon Country,CA,91351,Los Angeles County,null,null,,"LB, RB",,,,,,,,,,,LB,,,,,,,,,,RB,,,6,2,74,240,4,null,,,,,,,,,null,null,null,recruit,FALSE
,,,2023,,,,,,WH,,,,,,Capital Christian High School,9470 Micron Ave,Sacramento,CA,95827,Sacramento County,null,null,,"OL, TE",,,,,,,,,,,,,,,,,OL,,,,,TE,,6,7,79,235,4,null,,,,,,,,,null,null,null,recruit,FALSE
,CA,,2021,,,,,,,,,,,,Carson High School,22328 South Main Street,Carson,CA,90745,Los Angeles County,null,null,,OL,,,,,,,,,,,,,,,,,OL,,,,,,,6,3,75,370,4,null,,,,,,,,,null,null,null,recruit,FALSE
Redlands,CA,92374,2016,,8/7/98,,,,,,,,,,Citrus Valley High School,800 W Pioneer Ave,Redlands,CA,92374,San Bernardino County,null,null,,DB,,DB,,,,,,,,,,,,,,,,,,,,,,5,7,67,160,4,null,,,,,,,,,null,null,null,recruit,FALSE
Fresno,CA,93720,2016,,,,,,,,,,,,Clovis North High School,2770 E International Ave,Fresno,CA,93730,Fresno County,null,null,,QB,,,,,,,,,,,,,,,,,,,,QB,,,,6,0,72,180,4,null,,,,,,,,,null,null,null,recruit,FALSE
,CA,,2020,,,,,,,,,,TRUE,,Cordova High School,2239 Chase Drive,Rancho Cordova,CA,95670,Sacramento County,null,null,,OG,,,,,,,,,,,,,,,,OG,,,,,,,,6,3,75,310,4,null,,,,,,,,,null,null,null,recruit,FALSE
,CA,,2018,,,,,,AB,,,No,TRUE,,Cosumnes Oaks High School,8350 Lotz Pkwy,Elk Grove,CA,95757,Sacramento County,null,null,,"DB, WR",,DB,,,,,,,,,,,,,,,,,,,,,WR,5,10,70,160,4,null,,,,,,,,,null,null,null,recruit,FALSE
,CA,,2021,,,,,,,,,,,,Crescenta Valley High School,2900 Community Ave,La Crescenta,CA,91214,Los Angeles County,null,null,,LB,,,,,,,,,,,LB,,,,,,,,,,,,,5,8,68,185,4,null,,,,,,,,,null,null,null,recruit,FALSE
,CA,,2016,,,,,,AB,,,,,,Damien High School,2280 Damien Ave,La Verne,CA,91750,Los Angeles County,null,null,,RB,,,,,,,,,,,,,,,,,,,,,RB,,,5,11,71,180,4,null,,,,,,,,,null,null,null,recruit,FALSE
Forrest Grove,OR,97116,2022,,5/18/04,null,F22,first year,,,,,TRUE,,Forrest Grove High School,1401 Nichols Ln,Forest Grove,OR,97116,Washington County,null,null,,WR,,,,,,,,,,,,,,,,,,,,,,,WR,6,0,72,155,4,null,,,,,,,,,null,,FALSE,current,TRUE
,CA,,2016,,,,,,AB,,,,,,El Camino Fundamental Hs,4300 El Camino Ave,Sacramento,CA,95821,Sacramento County,null,null,,"DB, WR",,DB,,,,,,,,,,,,,,,,,,,,,WR,6,1,73,180,4,null,,,,,,,,,null,null,null,recruit,FALSE
,CA,,2022,,,,,,AB,,,,,,El Camino Real Charter High Sc,5440 Valley Circle Blvd,Woodland Hills,CA,91367,Los Angeles County,null,null,,"DB, RB",,DB,,,,,,,,,,,,,,,,,,,RB,,,5,7,67,185,4,null,,,,,,,,,null,null,null,recruit,FALSE
Lake Forest,CA,92630,2017,,,,,,,,,,,,El Toro High School,25255 Toledo Way,Lake Forest,CA,92630,Orange County,null,null,,QB,,,,,,,,,,,,,,,,,,,,QB,,,,5,11,71,177,4,null,,,,,,,,,null,null,null,recruit,FALSE
,CA,,2020,,,,,,,,,,TRUE,,Folsom High School,1655 Iron Point Rd,Folsom,CA,95630,Sacramento County,null,null,,OL,,,,,,,,,,,,,,,,,OL,,,,,,,5,11,71,220,4,null,,,,,,,,,null,null,null,recruit,FALSE
,CA,,2022,,,,,,,,,,,,Freedom High School,1050 Neroly Rd,Oakley,CA,94561,Contra Costa County,null,null,,LB,,,,,,,,,,,LB,,,,,,,,,,,,,5,10,70,210,4,null,,,,,,,,,null,null,null,recruit,FALSE
Bakersfield,CA,93307,2017,,12/3/98,,,,,,,,,,Golden Valley High School,801 HOSKINS AVENUE,BAKERSFIELD,CA,93307,Kern County,null,null,,QB,,,,,,,,,,,,,,,,,,,,QB,,,,,,0,,4,null,,,,,,,,,null,null,null,recruit,FALSE
